CPU 4 iZ25qtxwjqdZ,User%,Sys%,Wait%,Idle%
2015-12-09 14:15:01,4.4,2.2,4.4,88.9
2015-12-09 14:15:02,4.2,2.1,0.0,93.8
2015-12-09 14:15:03,2.1,1.1,0.0,96.8
2015-12-09 14:15:04,5.2,2.1,0.0,92.8
2015-12-09 14:15:05,4.3,1.1,0.0,94.7
2015-12-09 14:15:06,3.1,2.1,0.0,94.8
2015-12-09 14:15:07,6.2,2.1,0.0,91.8
2015-12-09 14:15:08,5.3,2.1,0.0,92.6
2015-12-09 14:15:09,3.1,2.1,0.0,94.8
2015-12-09 14:15:10,5.3,2.1,0.0,92.6
2015-12-09 14:15:11,6.4,3.2,0.0,90.4
2015-12-09 14:15:12,5.3,2.1,0.0,92.6
2015-12-09 14:15:13,5.3,2.1,0.0,92.6
2015-12-09 14:15:14,5.4,2.2,0.0,92.5
2015-12-09 14:15:15,6.5,2.2,0.0,91.4
2015-12-09 14:15:16,8.3,4.2,0.0,87.5
2015-12-09 14:15:17,8.4,4.2,0.0,87.4
2015-12-09 14:15:18,6.4,1.1,0.0,92.6
2015-12-09 14:15:19,4.2,2.1,0.0,93.7
2015-12-09 14:15:20,7.4,3.2,0.0,89.4
2015-12-09 14:15:21,9.7,3.2,0.0,87.1
2015-12-09 14:15:22,8.6,3.2,0.0,88.2
2015-12-09 14:15:23,7.4,2.1,0.0,90.4
2015-12-09 14:15:24,10.4,5.2,0.0,84.4
2015-12-09 14:15:25,9.9,4.4,0.0,85.7
2015-12-09 14:15:26,13.2,4.4,0.0,82.4
2015-12-09 14:15:27,8.8,3.3,0.0,87.9
2015-12-09 14:15:28,7.4,3.2,0.0,89.4
2015-12-09 14:15:29,9.4,4.2,0.0,86.5
2015-12-09 14:15:30,11.7,4.3,0.0,84.0
2015-12-09 14:15:31,12.2,4.4,0.0,83.3
2015-12-09 14:15:32,11.7,3.2,0.0,85.1
2015-12-09 14:15:33,9.8,4.3,0.0,85.9
2015-12-09 14:15:34,8.6,4.3,0.0,87.1
2015-12-09 14:15:35,12.0,5.4,0.0,82.6
2015-12-09 14:15:36,11.1,3.3,0.0,85.6
