CPU 3 iZ25qtxwjqdZ,User%,Sys%,Wait%,Idle%
2015-12-09 14:15:01,3.7,3.0,0.7,92.6
2015-12-09 14:15:02,2.0,1.0,0.0,96.9
2015-12-09 14:15:03,3.1,1.0,0.0,95.9
2015-12-09 14:15:04,4.2,2.1,0.0,93.8
2015-12-09 14:15:05,6.1,2.0,0.0,91.8
2015-12-09 14:15:06,2.1,2.1,0.0,95.8
2015-12-09 14:15:07,5.2,2.1,0.0,92.7
2015-12-09 14:15:08,7.2,2.1,0.0,90.7
2015-12-09 14:15:09,5.2,2.1,2.1,90.6
2015-12-09 14:15:10,7.4,2.1,0.0,90.5
2015-12-09 14:15:11,6.5,2.2,0.0,91.4
2015-12-09 14:15:12,7.4,3.2,0.0,89.4
2015-12-09 14:15:13,5.4,3.3,0.0,91.3
2015-12-09 14:15:14,5.3,3.2,0.0,91.5
2015-12-09 14:15:15,7.5,3.2,0.0,89.2
2015-12-09 14:15:16,6.5,4.3,0.0,89.2
2015-12-09 14:15:17,8.7,4.3,0.0,87.0
2015-12-09 14:15:18,9.6,4.3,6.4,79.8
2015-12-09 14:15:19,4.2,2.1,7.3,86.5
2015-12-09 14:15:20,8.4,3.2,0.0,88.4
2015-12-09 14:15:21,7.4,3.2,0.0,89.4
2015-12-09 14:15:22,9.7,3.2,0.0,87.1
2015-12-09 14:15:23,8.6,4.3,6.5,80.6
2015-12-09 14:15:24,8.5,3.2,4.3,84.0
2015-12-09 14:15:25,11.8,4.3,0.0,83.9
2015-12-09 14:15:26,10.9,4.3,0.0,84.8
2015-12-09 14:15:27,10.6,5.3,0.0,84.0
2015-12-09 14:15:28,13.0,4.3,3.3,79.3
2015-12-09 14:15:29,8.6,3.2,17.2,71.0
2015-12-09 14:15:30,10.8,4.3,0.0,84.9
2015-12-09 14:15:31,13.2,4.4,0.0,82.4
2015-12-09 14:15:32,12.9,4.3,0.0,82.8
2015-12-09 14:15:33,12.0,5.4,7.6,75.0
2015-12-09 14:15:34,11.8,3.2,2.2,82.8
2015-12-09 14:15:35,12.1,5.5,0.0,82.4
2015-12-09 14:15:36,14.0,4.3,0.0,81.7
2015-12-09 14:15:37,13.3,4.4,0.0,82.2
2015-12-09 14:15:38,11.0,4.4,1.1,83.5
2015-12-09 14:15:39,9.6,3.2,12.8,74.5
2015-12-09 14:15:40,15.4,4.4,0.0,80.2
2015-12-09 14:15:41,14.3,4.4,0.0,81.3
2015-12-09 14:15:42,11.0,6.6,0.0,82.4
2015-12-09 14:15:43,13.2,5.5,0.0,81.3
2015-12-09 14:15:44,9.4,4.2,24.0,62.5
2015-12-09 14:15:45,14.4,4.4,0.0,81.1
2015-12-09 14:15:46,14.3,5.5,0.0,80.2
2015-12-09 14:15:47,16.5,4.4,1.1,78.0
2015-12-09 14:15:48,16.3,6.5,8.7,68.5
2015-12-09 14:15:49,12.0,4.3,20.7,63.0
2015-12-09 14:15:50,13.5,6.2,0.0,80.2
2015-12-09 14:15:51,16.3,5.4,0.0,78.3
2015-12-09 14:15:52,13.5,5.6,0.0,80.9
2015-12-09 14:15:53,14.1,4.3,9.8,71.7
2015-12-09 14:15:54,15.4,4.4,2.2,78.0
2015-12-09 14:15:55,12.2,4.4,1.1,82.2
2015-12-09 14:15:56,16.5,6.6,0.0,76.9
2015-12-09 14:15:57,15.7,6.7,0.0,77.5
2015-12-09 14:15:58,16.5,4.4,9.9,69.2
2015-12-09 14:15:59,14.3,4.4,0.0,81.3
2015-12-09 14:16:00,16.1,5.4,0.0,78.5
2015-12-09 14:16:01,16.7,5.6,0.0,77.8
2015-12-09 14:16:02,15.4,5.5,0.0,79.1
2015-12-09 14:16:03,15.4,5.5,0.0,79.1
2015-12-09 14:16:04,14.3,3.3,0.0,82.4
2015-12-09 14:16:05,15.7,5.6,0.0,78.7
2015-12-09 14:16:06,15.4,6.6,0.0,78.0
2015-12-09 14:16:07,16.5,7.7,0.0,75.8
2015-12-09 14:16:08,17.4,7.6,0.0,75.0
2015-12-09 14:16:09,12.9,6.5,0.0,80.6
2015-12-09 14:16:10,14.1,7.6,0.0,78.3
2015-12-09 14:16:11,16.3,5.4,0.0,78.3
2015-12-09 14:16:12,16.5,4.4,0.0,79.1
2015-12-09 14:16:13,16.5,6.6,0.0,76.9
2015-12-09 14:16:14,14.3,4.4,4.4,76.9
2015-12-09 14:16:15,18.3,6.5,0.0,75.3
2015-12-09 14:16:16,17.6,5.5,0.0,76.9
2015-12-09 14:16:17,16.7,6.7,0.0,76.7
2015-12-09 14:16:18,16.1,5.7,10.3,67.8
2015-12-09 14:16:19,8.5,3.2,24.5,63.8
2015-12-09 14:16:20,16.5,6.6,0.0,76.9
2015-12-09 14:16:21,19.3,8.0,0.0,72.7
2015-12-09 14:16:22,15.7,5.6,0.0,78.7
2015-12-09 14:16:23,17.4,7.6,10.9,64.1
2015-12-09 14:16:24,13.3,6.7,24.4,55.6
2015-12-09 14:16:25,17.6,4.4,0.0,78.0
2015-12-09 14:16:26,14.3,6.6,0.0,79.1
2015-12-09 14:16:27,17.6,5.5,0.0,76.9
2015-12-09 14:16:28,15.6,6.7,0.0,77.8
2015-12-09 14:16:29,12.0,5.4,0.0,82.6
2015-12-09 14:16:30,15.4,5.5,0.0,79.1
2015-12-09 14:16:31,17.8,6.7,0.0,75.6
2015-12-09 14:16:32,17.8,5.6,0.0,76.7
2015-12-09 14:16:33,16.5,5.5,0.0,78.0
2015-12-09 14:16:34,13.5,5.6,0.0,80.9
2015-12-09 14:16:35,14.0,7.5,0.0,78.5
