CPU 2 iZ25qtxwjqdZ,User%,Sys%,Wait%,Idle%
2015-12-09 14:16:50,16.9,7.9,0.0,75.3
2015-12-09 14:16:51,18.3,6.5,0.0,75.3
2015-12-09 14:16:52,12.2,3.3,0.0,84.4
2015-12-09 14:16:53,17.4,7.6,0.0,75.0
2015-12-09 14:16:54,8.6,3.2,0.0,88.2
2015-12-09 14:16:55,19.1,5.6,0.0,75.3
2015-12-09 14:16:56,17.0,6.8,0.0,76.1
2015-12-09 14:16:57,19.6,6.5,0.0,73.9
2015-12-09 14:16:58,20.0,7.8,11.1,61.1
2015-12-09 14:16:59,18.0,7.9,3.4,70.8
2015-12-09 14:17:00,15.9,8.0,0.0,76.1
2015-12-09 14:17:01,22.8,6.5,0.0,70.7
2015-12-09 14:17:02,20.2,7.9,0.0,71.9
2015-12-09 14:17:03,21.3,6.7,12.4,59.6
2015-12-09 14:17:04,17.0,8.0,31.8,43.2
2015-12-09 14:17:05,19.1,6.7,0.0,74.2
2015-12-09 14:17:06,19.3,6.8,0.0,73.9
2015-12-09 14:17:07,20.7,8.0,0.0,71.3
2015-12-09 14:17:08,18.9,5.6,13.3,62.2
2015-12-09 14:17:09,13.3,4.4,36.7,45.6
2015-12-09 14:17:10,19.8,6.6,0.0,73.6
2015-12-09 14:17:11,18.4,8.0,0.0,73.6
2015-12-09 14:17:12,24.1,8.0,0.0,67.8
2015-12-09 14:17:13,17.8,8.9,14.4,58.9
2015-12-09 14:17:14,8.5,4.3,3.2,84.0
2015-12-09 14:17:15,20.2,7.9,0.0,71.9
2015-12-09 14:17:16,18.4,6.9,0.0,74.7
2015-12-09 14:17:17,18.9,10.0,0.0,71.1
2015-12-09 14:17:18,21.7,8.7,0.0,69.6
2015-12-09 14:17:19,22.7,4.5,0.0,72.7
2015-12-09 14:17:20,17.2,10.3,0.0,72.4
2015-12-09 14:17:21,20.2,6.7,0.0,73.0
2015-12-09 14:17:22,17.0,6.8,0.0,76.1
2015-12-09 14:17:23,16.5,5.9,5.9,71.8
2015-12-09 14:17:24,16.3,7.6,0.0,76.1
2015-12-09 14:17:25,19.1,6.7,0.0,74.2
2015-12-09 14:17:26,17.6,5.5,0.0,76.9
2015-12-09 14:17:27,22.5,5.6,0.0,71.9
2015-12-09 14:17:28,15.4,4.4,3.3,76.9
2015-12-09 14:17:29,15.2,4.3,19.6,60.9
2015-12-09 14:17:30,20.2,6.7,0.0,73.0
2015-12-09 14:17:31,19.1,6.7,0.0,74.2
2015-12-09 14:17:32,20.7,6.9,0.0,72.4
